name,price,brand,category,weight,weight_unit,barcode
Aldi Whole Milk 2L,1.85,Castlefarm,dairy & eggs,2,l,
Aldi Low Fat Milk 2L,1.79,Castlefarm,dairy & eggs,2,l,
Aldi Whole Milk 1L,1.15,Castlefarm,dairy & eggs,1,l,
Aldi Irish Butter 227g,2.25,Kilkeely,dairy & eggs,227,g,
Aldi Spreadable Butter 500g,3.39,Greenvale,dairy & eggs,500,g,
Aldi Cheddar Cheese 200g,1.89,Clonbawn,dairy & eggs,200,g,
Aldi Grated Mozzarella 250g,1.59,Cucina,dairy & eggs,250,g,
Aldi Free Range Eggs 10 Pack,2.89,The Pantry,dairy & eggs,10,units,
Aldi Free Range Eggs 6 Pack,1.89,The Pantry,dairy & eggs,6,units,
Aldi Greek Style Yoghurt 500g,1.39,Brooklea,dairy & eggs,500,g,
Aldi Natural Yoghurt 500g,0.95,Brooklea,dairy & eggs,500,g,
Aldi Fresh Chicken Breast Fillets 360g,4.39,Ashdale,meat & poultry,360,g,
Aldi Fresh Chicken Thighs 500g,3.19,Ashdale,meat & poultry,500,g,
Aldi Irish Beef Mince 400g,3.89,Nature's Glen,meat & poultry,400,g,
Aldi Irish Beef Mince 750g,6.29,Nature's Glen,meat & poultry,750,g,
Aldi Streaky Bacon 200g,2.19,Ashdale,meat & poultry,200,g,
Aldi Pork Sausages 454g,2.39,Ashdale,meat & poultry,454,g,
Aldi Smoked Salmon 100g,3.89,Iniskim,meat & poultry,100,g,
Aldi Bananas 5 Pack,0.95,,fruits & vegetables,5,units,
Aldi Loose Bananas per kg,1.45,,fruits & vegetables,1,kg,
Aldi Broccoli Head,0.95,,fruits & vegetables,,units,
Aldi Carrots 1kg,0.75,,fruits & vegetables,1,kg,
Aldi Rooster Potatoes 2.5kg,2.39,,fruits & vegetables,2.5,kg,
Aldi White Potatoes 2kg,1.69,,fruits & vegetables,2,kg,
Aldi Iceberg Lettuce,0.85,,fruits & vegetables,,units,
Aldi Vine Tomatoes 450g,1.39,,fruits & vegetables,450,g,
Aldi White Sliced Pan 800g,1.15,Village Bakery,bakery,800,g,
Aldi Wholemeal Sliced Pan 800g,1.25,Village Bakery,bakery,800,g,
Aldi Sourdough Bread 500g,1.79,,bakery,500,g,
Aldi 4 Croissants,1.39,,bakery,4,units,
Aldi Still Water 2L,0.45,Aqua Falls,drinks,2,l,
Aldi Still Water 6x500ml,1.89,Aqua Falls,drinks,3,l,
Aldi Orange Juice 1L,1.59,Nature's Pick,drinks,1,l,
Aldi Apple Juice 1L,1.39,Nature's Pick,drinks,1,l,
Aldi Barry's Gold Blend Tea 80s,3.89,Barry's,drinks,80,units,
Aldi Instant Coffee 200g,3.89,Alcafé,drinks,200,g,
Aldi Cola 2L,0.85,Summit,drinks,2,l,
Aldi Coca-Cola 2L,2.65,Coca-Cola,drinks,2,l,
Aldi Fish Fingers 450g,2.39,Ocean Trader,frozen,450,g,
Aldi Frozen Pizza Margherita 300g,1.59,Carlos,frozen,300,g,
Aldi Frozen Chips 1.5kg,1.89,Four Seasons,frozen,1.5,kg,
Aldi Vanilla Ice Cream 900ml,2.39,Grandessa,frozen,900,ml,
Aldi Milk Chocolate Bar 200g,1.39,Dairyfine,snacks & sweets,200,g,
Aldi Dark Chocolate 100g,0.89,Moser Roth,snacks & sweets,100,g,
Aldi Crisps Multipack 12 Pack,3.39,Snackrite,snacks & sweets,12,units,
Aldi Digestive Biscuits 400g,0.89,Belmont,snacks & sweets,400,g,
Aldi Kitchen Roll 2 Pack,1.69,Saxon,household,2,units,
Aldi Toilet Roll 9 Pack,3.29,Saxon,household,9,units,
Aldi Washing Up Liquid 500ml,0.89,Magnum,household,500,ml,
Aldi Laundry Detergent 1.1L,3.79,Almat,household,1.1,l,
