name,price,brand,category,weight,weight_unit,barcode
Lidl Whole Milk 2L,1.89,Creggan,dairy & eggs,2,l,
Lidl Low Fat Milk 2L,1.85,Creggan,dairy & eggs,2,l,
Lidl Whole Milk 1L,1.19,Creggan,dairy & eggs,1,l,
Lidl Irish Butter 227g,2.29,Kilkeely,dairy & eggs,227,g,
Lidl Spreadable Butter 500g,3.49,Kilkeely,dairy & eggs,500,g,
Lidl Cheddar Cheese 200g,1.99,Coolmore,dairy & eggs,200,g,
Lidl Grated Mozzarella 250g,1.69,Ombra,dairy & eggs,250,g,
Lidl Free Range Eggs 10 Pack,2.99,Newgate,dairy & eggs,10,units,
Lidl Free Range Eggs 6 Pack,1.99,Newgate,dairy & eggs,6,units,
Lidl Greek Style Yoghurt 500g,1.49,Eridanous,dairy & eggs,500,g,
Lidl Natural Yoghurt 500g,0.99,Milbona,dairy & eggs,500,g,
Lidl Fresh Chicken Breast Fillets 360g,4.49,Ballyburren,meat & poultry,360,g,
Lidl Fresh Chicken Thighs 500g,3.29,Ballyburren,meat & poultry,500,g,
Lidl Irish Beef Mince 400g,3.99,Birchwood,meat & poultry,400,g,
Lidl Irish Beef Mince 750g,6.49,Birchwood,meat & poultry,750,g,
Lidl Streaky Bacon 200g,2.29,Ballyburren,meat & poultry,200,g,
Lidl Pork Sausages 454g,2.49,Ballyburren,meat & poultry,454,g,
Lidl Smoked Salmon 100g,3.99,,meat & poultry,100,g,
Lidl Bananas 5 Pack,0.99,,fruits & vegetables,5,units,
Lidl Loose Bananas per kg,1.49,,fruits & vegetables,1,kg,
Lidl Broccoli Head,0.99,,fruits & vegetables,,units,
Lidl Carrots 1kg,0.79,,fruits & vegetables,1,kg,
Lidl Rooster Potatoes 2.5kg,2.49,,fruits & vegetables,2.5,kg,
Lidl White Potatoes 2kg,1.79,,fruits & vegetables,2,kg,
Lidl Iceberg Lettuce,0.89,,fruits & vegetables,,units,
Lidl Vine Tomatoes 450g,1.49,,fruits & vegetables,450,g,
Lidl White Sliced Pan 800g,1.19,Rowan Hill,bakery,800,g,
Lidl Wholemeal Sliced Pan 800g,1.29,Rowan Hill,bakery,800,g,
Lidl Sourdough Bread 500g,1.89,,bakery,500,g,
Lidl 4 Croissants,1.49,,bakery,4,units,
Lidl Still Water 2L,0.49,Kildevand,drinks,2,l,
Lidl Still Water 6x500ml,1.99,Kildevand,drinks,3,l,
Lidl Orange Juice 1L,1.69,Solevita,drinks,1,l,
Lidl Apple Juice 1L,1.49,Solevita,drinks,1,l,
Lidl Barry's Gold Blend Tea 80s,3.99,Barry's,drinks,80,units,
Lidl Instant Coffee 200g,3.99,Bellarom,drinks,200,g,
Lidl Cola 2L,0.89,Freeway,drinks,2,l,
Lidl Coca-Cola 2L,2.69,Coca-Cola,drinks,2,l,
Lidl Fish Fingers 450g,2.49,,frozen,450,g,
Lidl Frozen Pizza Margherita 300g,1.69,Trattoria Alfredo,frozen,300,g,
Lidl Frozen Chips 1.5kg,1.99,,frozen,1.5,kg,
Lidl Vanilla Ice Cream 900ml,2.49,Gelatelli,frozen,900,ml,
Lidl Milk Chocolate Bar 200g,1.49,,snacks & sweets,200,g,
Lidl Dark Chocolate 100g,0.99,,snacks & sweets,100,g,
Lidl Crisps Multipack 12 Pack,3.49,Snaktastic,snacks & sweets,12,units,
Lidl Digestive Biscuits 400g,0.99,,snacks & sweets,400,g,
Lidl Kitchen Roll 2 Pack,1.79,,household,2,units,
Lidl Toilet Roll 9 Pack,3.49,,household,9,units,
Lidl Washing Up Liquid 500ml,0.99,W5,household,500,ml,
Lidl Laundry Detergent 1.1L,3.99,Formil,household,1.1,l,
